Myth Beyond Heaven,8.6,1028,"Yun Lintian, a man from modern Earth, found himself in a cliche situation that was all too familiar to him in novels: Being transmigrated! He had arrived in a magical cultivation-oriented world called the Azure World.
Unlike the other protagonists in various novels he had read before, Yun Lintian was left without any cheat device. Pill Emperor inheritance? Super God-like physique? He had nothing!
Did the God of Transmigration really leave him with nothing? How was he going to live in the world that strong preying on the weak?
Watch the journey of Yun Lintian in the foreign world as he grew up in power ranking along with his precious all-female sect!","[""CloudBeneathMoon""]","[""Fantasy"",""Action"",""Adventure"",""Comedy"",""Romance""]",Webnovel,"[""Ongoing""]",./images/Myth_Beyond_Heaven.png
Eternal Cultivation Of Alchemy,8.7,1324,"Through an array of coincidences, Alex comes to learn that making pills is one of the best ways to earn money in the game, 'Eternal Cultivation.'
So, he decides to join a sect that prioritizes the way of Alchemy. How far will he go with his incredible talents and luck? Read and Find out.","[""Snoring_Panda""]","[""Video Games"",""Action"",""Adventure"",""Martial Arts""]",Webnovel,"[""Ongoing""]",./images/Eternal_Cultivation_Of_Alchemy.png
Omega Summoner,8.6,795,"In the year 2077, the first FIVR Game or Fully Immersive Virtual Reality Game, Pandemonium, has been created. Pandemonium which is the first ever fully immersive virtual reality game made in human history. In the universe of Pandemonium, Fantasy meets science and where order is chaos and chaos is order. A universe of endless possibilities in which anyone can become the invincible hero fighting against the forces of darkness or a sage which dives into the abyss of magic and so much more. In Pandemonium, the inhabitants comes in all shapes and sizes. Adrian, our main character, who experienced an accident that caused him to be temporary limp used the game as a way for therapy but mainly to experience the new world of virtual reality. He will experience countless adventures and challenges and rise to be the most influential person in this new reality.","[""XiaoKongxu""]","[""Video Games"",""Adventure"",""Action"",""Slice of Life""]",Webnovel,"[""Ongoing""]",./images/Omega_Summoner.png
Strongest Mage with the Lust system,8.6,715,"[ Warning: Mature content R-18 ]
A middle class boy died a pathetic death after witnessing his best friend making out with the girl he liked. However what he thought was the end, was actually a begining of exciting life.
""Huh? Did I reincarnated?""
[ Ding. Lust system initiated.]
This world has magic and beauties that none in his previous life can compare.
Join Exciting journey of Our MC. How he will get both strength and most gorgeous beauties.","[""Blizzard54k""]","[""Fantasy"",""Harem"",""Adventure""]",Webnovel,"[""Ongoing""]",./images/Strongest_Mage_with_the_Lust_system.png
Eternal Thief,8.5,985,"Heaven made everyone's with many flaws.
Because it didn't want them to gain power that can pose a threat for it.
It steals from everyone, it steals their right to gain strength from birth, it steals their right to live long lives then it steals their life itself.
The biggest thief of eternity is High Heaven itself.
I will open its hidden treasures that it steals from others and turn them into my power.
I will steal from Heaven I will steal until I become ETERNAL…","[""Wahi""]","[""Fantasy"",""Action"",""Adventure"",""Comedy"",""Harem"",""Romance""]",Webnovel,"[""Ongoing""]",./images/Eternal_Thief.png
The Damned Demon,8.5,425,"Died a Hero, Reborn as a Demon...
The strongest Hero in the world killed the Demon King, the most powerful demon ever to appear on Earth. He achieved something which no other hero could ever do.
But alas, the Hero never expected his own girlfriend, his own friends, and the organization he trusted to suddenly turn against him and try to kill him.
It was the cruelest blow he was ever dealt in his life.
He still didn’t give up and tried to stand his ground, but they had come prepared, and he was caught unawares in their trap. He fought to his death only to find himself transmigrated into a demon’s body!
But who would have thought that he would be the husband of the Demon Queen!
However, life as the royal consort was not easy at all. So read to find out how he is going to overcome those trying to step on him and finally get his revenge.","[""Resurgent""]","[""Fantasy""]",Webnovel,"[""Ongoing""]",./images/The_Damned_Demon.png
Getting a Technology System in Modern Day,8.8,347,"For others it takes dying and reincarnating for them to get a system but what happens when you get one without dying?
Aron Michael is an average student set to graduate within a week, but he was expelled for a random reason. Due to that, he had heavy student debt and no diploma to help him earn the money to pay it back. But one day he got a system that called itself the [Advanced Tech System].","[""Agent_047""]","[""Sci-fi"",""Romance"",""Slice of Life"",""Action""]",Webnovel,"[""Ongoing""]",./images/Getting_a_Technology_System_in_Modern_Day.png
Epic of Ice Dragon: Reborn As An Ice Dragon With A System,8.6,1311,"A young man that was always cautious with his life ended up dying in the most random way possible, buried by an avalanche.
As he died, within his last moments, he heard several mechanical voices resonating inside of his head, and he was granted many wishes in the form of Skills, Fortunes, and a new Body.
Now, reborn as an Ice Dragon, he is thrown into a world of fantasy that seems way too much like Norse Mythology named Yggdrasil, which is also, somehow, a Cultivation World?
What a weird mashup of concepts!
Accompany him as he explores this world, survives against the deadly monsters that roam this world, and fights to find a place to belong to, and a purpose to this new life.
However, he is not the only Reincarnated who was given wishes, and soon enough, the world he was thrown into will be engulfed in complete chaos.","[""PancakesWitch""]","[""Fantasy"",""Adventure"",""Romance""]",Webnovel,"[""Ongoing""]",./images/Epic_of_Ice_Dragon__Reborn_As_An_Ice_Dragon_With_A_System.png
Dragon Monarch System,8.6,545,"[Ding! Dragon Monarch System has been activated.]
Aditya finds himself in the body of a 19 years old dragon. Aditya learns the misfortune fate of the former Aditya. Being a man from the 21st century, Aditya decides to change his fate.Being married to the 7 goddesses of this world, Aditya walks on a path to prove himself to his wives and to his family.
""Goddess of War""""Goddess of Alchemy""""Goddess of Wealth""""Goddess of Wisdom""""Goddess of Lust""""Goddess of Music""""Goddess of Nature""","[""Dark_Bangali""]","[""Magical Realism"",""Romance"",""Harem""]",Webnovel,"[""Ongoing""]",./images/Dragon_Monarch_System.png
The Rise of the Black Plain,8.6,1613,"Minos Stuart is an ordinary young nobleman with average talent and a few possibilities for his future. Still, when he was about to start his cultivation journey, he was seriously injured, left in a nearly dead state!
But due to a turnaround in fate, Minos receives an opportunity of one in one billion when he was recognized by a fragment of the soul from an ancient specialist in the Spiritual World.
With this opportunity, Minos will have a new path to follow, full of dangers and adventures, while he will gather the strength to fulfill a promise and his own desires!","[""RVN_1998""]","[""Harem"",""Romance"",""Adventure"",""Fantasy"",""Action""]",Webnovel,"[""Ongoing""]",./images/The_Rise_of_the_Black_Plain.png
Reincarnated with the Mind Control Powers in Another World.,8.6,330,"what the hell i got reincarnated in another world.
[Choose class]
[Monster Or Human Class ?]
Monster Class.
[Mind Flare]
Yeah i choose Mind Flare.
I shall Hypnotize my MILF step-mother with huge butt and her three daughters for my use.
wtf!!?? Ogre girls with sexy bodies and huge breasts, i won't miss that one.
""get naked and bend down, girl.""
""yes, master.""
Wait ? this beast girl have 6 breasts and everyone hates it bro why ? this is heaven.
Those who come in my way will kill themselves as they look in my eyes and all the females who deny me shall receive my holy seed even without their consent.","[""Night_phantom""]","[""Fantasy"",""Harem""]",Webnovel,"[""Ongoing""]",./images/Reincarnated_with_the_Mind_Control_Powers_in_Another_World_.png
Pantheon Online,8.7,133,"Two worlds collide in the new VRMMORPG, 'Pantheon Online', as Colt Anderson desperately joins the game in a bid to save his failing gaming career. At first, he thought it would be like any other game…
That was until he discovered the players would be the Gods of this world. The goal? To spread their influence among the mortals (NPC's). However, if their Divinity ever reached zero, they would be forcefully ejected from the game forever.
As Colt is driven forward by his ambition, his beliefs as a gamer are called into question. Tough choices lay ahead, while his feelings for an NPC become complicated as they face the coming storms together.","[""Antihero""]","[""Action"",""Adventure"",""Game""]",Webnovel,"[""Ongoing""]",./images/Pantheon_Online.png
