undefined Novel Data Success | Time Taken : 0.5108541033333334ms
undefined Chapter Data Success | Time Taken : 0.5108541033333334ms
undefined Novel Data Success | Time Taken : 3.8512294550000004ms
undefined Chapter Data Success | Time Taken : 3.8512294550000004ms
undefined Novel Data Success | Time Taken : 0.4975622250000001ms
undefined Chapter Data Success | Time Taken : 0.4975622250000001ms
undefined Novel Data Success | Time Taken : 0.5072967000000002ms
undefined Chapter Data Success | Time Taken : 0.5072967000000002ms
undefined Novel Data Success | Time Taken : 0.48742903833333323ms
undefined Chapter Data Success | Time Taken : 0.48742903833333323ms
undefined Novel Data Success | Time Taken : 0.5045287933333332ms
undefined Chapter Data Success | Time Taken : 0.5045287933333332ms
undefined Novel Data Success | Time Taken : 0.4857344616666667ms
undefined Chapter Data Success | Time Taken : 0.4857344616666667ms
undefined Novel Data Success | Time Taken : 0.48609333499999996ms
undefined Chapter Data Success | Time Taken : 0.48609333499999996ms
undefined Novel Data Success | Time Taken : 1.9766718349999999ms
undefined Chapter Data Success | Time Taken : 1.9766718349999999ms
undefined Novel Data Success | Time Taken : 0.7313197816666667ms
undefined Chapter Data Success | Time Taken : 0.7313197816666667ms
undefined Novel Data Success | Time Taken : 0.8200112033333333ms
undefined Chapter Data Success | Time Taken : 0.8200112033333333ms
undefined Novel Data Success | Time Taken : 0.5931381683333333ms
undefined Chapter Data Success | Time Taken : 0.5931381683333333ms
undefined Novel Data Success | Time Taken : 0.6329531883333332ms
undefined Chapter Data Success | Time Taken : 0.6329531883333332ms
undefined Novel Data Success | Time Taken : 0.5520619449999998ms
undefined Chapter Data Success | Time Taken : 0.5520619449999998ms
undefined Novel Data Success | Time Taken : 0.5446160099999999ms
undefined Chapter Data Success | Time Taken : 0.5446160099999999ms
undefined Novel Data Success | Time Taken : 0.8766257533333333ms
undefined Chapter Data Success | Time Taken : 0.8766257533333333ms
undefined Novel Data Success | Time Taken : 0.5841394799999999ms
undefined Chapter Data Success | Time Taken : 0.5841394799999999ms
undefined Novel Data Success | Time Taken : 0.5130684933333334ms
undefined Chapter Data Success | Time Taken : 0.5130684933333334ms
undefined Novel Data Success | Time Taken : 0.5239500549999999ms
undefined Chapter Data Success | Time Taken : 0.5239500549999999ms
undefined Novel Data Success | Time Taken : 0.4871790183333333ms
undefined Chapter Data Success | Time Taken : 0.4871790183333333ms
undefined Novel Data Success | Time Taken : 0.5326668283333333ms
undefined Chapter Data Success | Time Taken : 0.5326668283333333ms
undefined Novel Data Success | Time Taken : 4.886294956666667ms
undefined Chapter Data Success | Time Taken : 4.886294956666667ms
undefined Novel Data Success | Time Taken : 0.5720444716666667ms
undefined Chapter Data Success | Time Taken : 0.5720444716666667ms
undefined Novel Data Success | Time Taken : 0.5078746933333332ms
undefined Chapter Data Success | Time Taken : 0.5078746933333332ms
undefined Novel Data Success | Time Taken : 0.5268454366666667ms
undefined Chapter Data Success | Time Taken : 0.5268454366666667ms
undefined Novel Data Success | Time Taken : 4.880038975ms
undefined Chapter Data Success | Time Taken : 4.880038975ms
undefined Novel Data Success | Time Taken : 0.5679525966666666ms
undefined Chapter Data Success | Time Taken : 0.5679525966666666ms
undefined Novel Data Success | Time Taken : 0.6101508266666666ms
undefined Chapter Data Success | Time Taken : 0.6101508266666666ms
undefined Novel Data Success | Time Taken : 0.533317545ms
undefined Chapter Data Success | Time Taken : 0.533317545ms
undefined Novel Data Success | Time Taken : 0.5158964166666666ms
undefined Chapter Data Success | Time Taken : 0.5158964166666666ms
undefined Novel Data Success | Time Taken : 0.51826089ms
undefined Chapter Data Success | Time Taken : 0.51826089ms
undefined Novel Data Success | Time Taken : 0.5340324949999999ms
undefined Chapter Data Success | Time Taken : 0.5340324949999999ms
undefined Novel Data Success | Time Taken : 0.4954453616666667ms
undefined Chapter Data Success | Time Taken : 0.4954453616666667ms
undefined Novel Data Success | Time Taken : 0.4784741366666667ms
undefined Chapter Data Success | Time Taken : 0.4784741366666667ms
undefined Novel Data Success | Time Taken : 0.4487376149999999ms
undefined Chapter Data Success | Time Taken : 0.4487376149999999ms
undefined Novel Data Success | Time Taken : 0.4761411649999999ms
undefined Chapter Data Success | Time Taken : 0.4761411649999999ms
undefined Novel Data Success | Time Taken : 0.5794839316666668ms
undefined Chapter Data Success | Time Taken : 0.5794839316666668ms
undefined Novel Data Success | Time Taken : 0.5034441716666668ms
undefined Chapter Data Success | Time Taken : 0.5034441716666668ms
undefined Novel Data Success | Time Taken : 0.5393476983333334ms
undefined Chapter Data Success | Time Taken : 0.5393476983333334ms
undefined Novel Data Success | Time Taken : 0.5358589549999999ms
undefined Chapter Data Success | Time Taken : 0.5358589549999999ms
undefined Novel Data Success | Time Taken : 0.5479161616666667ms
undefined Chapter Data Success | Time Taken : 0.5479161616666667ms
undefined Novel Data Success | Time Taken : 0.49864674333333336ms
undefined Chapter Data Success | Time Taken : 0.49864674333333336ms
undefined Novel Data Success | Time Taken : 0.574983905ms
undefined Chapter Data Success | Time Taken : 0.574983905ms
undefined Novel Data Success | Time Taken : 0.517124735ms
undefined Chapter Data Success | Time Taken : 0.517124735ms
undefined Novel Data Success | Time Taken : 0.5841426183333334ms
undefined Chapter Data Success | Time Taken : 0.5841426183333334ms
undefined Novel Data Success | Time Taken : 0.8474696333333334ms
undefined Chapter Data Success | Time Taken : 0.8474696333333334ms
undefined Novel Data Success | Time Taken : 0.5387943583333333ms
undefined Chapter Data Success | Time Taken : 0.5387943583333333ms
undefined Novel Data Success | Time Taken : 0.5581714ms
undefined Chapter Data Success | Time Taken : 0.5581714ms
undefined Novel Data Success | Time Taken : 0.5624221516666668ms
undefined Chapter Data Success | Time Taken : 0.5624221516666668ms
undefined Novel Data Success | Time Taken : 0.57088202ms
undefined Chapter Data Success | Time Taken : 0.57088202ms
undefined Novel Data Success | Time Taken : 1.0723307933333333ms
undefined Chapter Data Success | Time Taken : 1.0723307933333333ms
undefined Novel Data Success | Time Taken : 0.03599868ms
undefined Chapter Data Success | Time Taken : 0.03599868ms
undefined Novel Data Success | Time Taken : 0.029576555ms
undefined Chapter Data Success | Time Taken : 0.029576555ms
undefined Novel Data Success | Time Taken : 0.3686396966666667ms
undefined Chapter Data Success | Time Taken : 0.3686396966666667ms
undefined Novel Data Success | Time Taken : 0.38037535833333336ms
undefined Chapter Data Success | Time Taken : 0.38037535833333336ms
undefined Novel Data Success | Time Taken : 0.029253566666666668ms
undefined Chapter Data Success | Time Taken : 0.029253566666666668ms
undefined Novel Data Success | Time Taken : 0.03673799333333334ms
undefined Chapter Data Success | Time Taken : 0.03673799333333334ms
undefined Novel Data Success | Time Taken : 0.08809863333333333ms
undefined Chapter Data Success | Time Taken : 0.08809863333333333ms
undefined Novel Data Success | Time Taken : 0.032591930000000005ms
undefined Chapter Data Success | Time Taken : 0.032591930000000005ms
undefined Novel Data Success | Time Taken : 0.04204875166666667ms
undefined Chapter Data Success | Time Taken : 0.04204875166666667ms
undefined Novel Data Success | Time Taken : 0.09383023833333333ms
undefined Chapter Data Success | Time Taken : 0.09383023833333333ms
undefined Novel Data Success | Time Taken : 0.03095536ms
undefined Chapter Data Success | Time Taken : 0.03095536ms
undefined Novel Data Success | Time Taken : 0.036135458333333335ms
undefined Chapter Data Success | Time Taken : 0.036135458333333335ms
undefined Novel Data Success | Time Taken : 0.038049385ms
undefined Chapter Data Success | Time Taken : 0.038049385ms
undefined Novel Data Success | Time Taken : 0.032107619999999996ms
undefined Chapter Data Success | Time Taken : 0.032107619999999996ms
undefined Novel Data Success | Time Taken : 0.36238553333333334ms
